dataset_name,text_only_errors,corrected_errors,ecr,text_only_high_conf_errors,high_conf_corrected_errors,hc_ecr
go_validation,302,4,0.013245033112582781,241,0,0.0
imdb_test,7527,53,0.007041317922146938,6147,1,0.00016268098259313488
